"geodatasource_country","geodatasource_region","amchart_country","amchart_id"
"AD","Andorra la Vella","AD","AD-07"
"AD","Canillo","AD","AD-02"
"AD","Encamp","AD","AD-03"
"AD","Escaldes-Engordany","AD","AD-08"
"AD","La Massana","AD","AD-04"
"AD","Ordino","AD","AD-05"
"AD","Sant Julia de Loria","AD","AD-06"
"AE","'Ajman","AE","AE-AJ"
"AE","Abu Zaby","AE","AE-AZ"
"AE","Al Fujayrah","AE","AE-FU"
"AE","Ash Shariqah","AE","AE-SH"
"AE","Dubayy","AE","AE-DU"
"AE","Ra's al Khaymah","AE","AE-RK"
"AE","Umm al Qaywayn","AE","AE-UQ"
"AF","Baghlan","AF","AF-BGL"
"AF","Balkh","AF","AF-BAL"
"AF","Bamyan","AF","AF-BAM"
"AF","Faryab","AF","AF-FYB"
"AF","Helmand","AF","AF-HEL"
"AF","Herat","AF","AF-HER"
"AF","Kabul","AF","AF-KAB"
"AF","Kandahar","AF","AF-KAN"
"AF","Khost","AF","AF-KHO"
"AF","Kunduz","AF","AF-KDZ"
"AF","Logar","AF","AF-LOG"
"AF","Nangarhar","AF","AF-NAN"
"AF","Nimroz","AF","AF-NIM"
"AF","Paktika","AF","AF-PKA"
"AF","Paktiya","AF","AF-PIA"
"AF","Parwan","AF","AF-PAR"
"AF","Takhar","AF","AF-TAK"
"AF","Uruzgan","AF","AF-URU"
"AF","Badakhshan","AF","AF-BDS"
"AF","Badghis","AF","AF-BDG"
"AF","Daykundi","AF","AF-DAY"
"AF","Farah","AF","AF-FRA"
"AF","Ghazni","AF","AF-GHA"
"AF","Ghor","AF","AF-GHO"
"AF","Jowzjan","AF","AF-JOW"
"AF","Kapisa","AF","AF-KAP"
"AF","Kunar","AF","AF-KNR"
"AF","Laghman","AF","AF-LAG"
"AF","Nuristan","AF","AF-NUR"
"AF","Panjshayr","AF","AF-PAN"
"AF","Samangan","AF","AF-SAM"
"AF","Sar-e Pul","AF","AF-SAR"
"AF","Wardak","AF","AF-WAR"
"AF","Zabul","AF","AF-ZAB"
"AG","Redonda","AG","AG-11"
"AG","Saint George","AG","AG-03"
"AG","Saint John","AG","AG-04"
"AG","Saint Mary","AG","AG-05"
"AG","Saint Paul","AG","AG-06"
"AG","Saint Peter","AG","AG-07"
"AG","Saint Philip","AG","AG-08"
"AG","Barbuda","AG","AG-10"
"AI","Anguilla","AI","AI"
"AL","Berat","AL","AL-01"
"AL","Diber","AL","AL-09"
"AL","Durres","AL","AL-02"
"AL","Elbasan","AL","AL-03"
"AL","Fier","AL","AL-04"
"AL","Gjirokaster","AL","AL-05"
"AL","Korce","AL","AL-06"
"AL","Kukes","AL","AL-07"
"AL","Lezhe","AL","AL-08"
"AL","Shkoder","AL","AL-10"
"AL","Tirane","AL","AL-11"
"AL","Vlore","AL","AL-12"
"AM","Aragacotn","AM","AM-AG"
"AM","Ararat","AM","AM-AR"
"AM","Armavir","AM","AM-AV"
"AM","Erevan","AM","AM-ER"
"AM","Gegark'unik'","AM","AM-GR"
"AM","Kotayk'","AM","AM-KT"
"AM","Lori","AM","AM-LO"
"AM","Sirak","AM","AM-SH"
"AM","Syunik'","AM","AM-SU"
"AM","Tavus","AM","AM-TV"
"AM","Vayoc Jor","AM","AM-VD"
"AO","Bengo","AO","AO-BGO"
"AO","Benguela","AO","AO-BGU"
"AO","Bie","AO","AO-BIE"
"AO","Cabinda","AO","AO-CAB"
"AO","Cunene","AO","AO-CNN"
"AO","Huambo","AO","AO-HUA"
"AO","Huila","AO","AO-HUI"
"AO","Kuando Kubango","AO","AO-CCU"
"AO","Kwanza Norte","AO","AO-CNO"
"AO","Kwanza Sul","AO","AO-CUS"
"AO","Luanda","AO","AO-LUA"
"AO","Lunda Norte","AO","AO-LNO"
"AO","Lunda Sul","AO","AO-LSU"
"AO","Malange","AO","AO-MAL"
"AO","Moxico","AO","AO-MOX"
"AO","Namibe","AO","AO-NAM"
"AO","Uige","AO","AO-UIG"
"AO","Zaire","AO","AO-ZAI"
"AQ","Antarctica","AQ",""
"AR","Buenos Aires","AR","AR-B"
"AR","Catamarca","AR","AR-K"
"AR","Chaco","AR","AR-H"
"AR","Chubut","AR","AR-U"
"AR","Ciudad Autonoma de Buenos Aires","AR","AR-C"
"AR","Cordoba","AR","AR-X"
"AR","Corrientes","AR","AR-W"
"AR","Entre Rios","AR","AR-E"
"AR","Formosa","AR","AR-P"
"AR","Jujuy","AR","AR-Y"
"AR","La Pampa","AR","AR-L"
"AR","La Rioja","AR","AR-F"
"AR","Mendoza","AR","AR-M"
"AR","Misiones","AR","AR-N"
"AR","Neuquen","AR","AR-Q"
"AR","Rio Negro","AR","AR-R"
"AR","Salta","AR","AR-A"
"AR","San Juan","AR","AR-J"
"AR","San Luis","AR","AR-D"
"AR","Santa Cruz","AR","AR-Z"
"AR","Santa Fe","AR","AR-S"
"AR","Santiago del Estero","AR","AR-G"
"AR","Tierra del Fuego","AR","AR-V"
"AR","Tucuman","AR","AR-T"
"AS","Eastern District","AS","AS-ET"
"AS","Western District","AS","AS-WT"
"AT","Burgenland","AT","AT-1"
"AT","Karnten","AT","AT-2"
"AT","Niederosterreich","AT","AT-3"
"AT","Oberosterreich","AT","AT-4"
"AT","Salzburg","AT","AT-5"
"AT","Steiermark","AT","AT-6"
"AT","Tirol","AT","AT-7"
"AT","Vorarlberg","AT","AT-8"
"AT","Wien","AT","AT-9"
"AU","Australian Capital Territory","AU","AU-ACT"
"AU","New South Wales","AU","AU-NSW"
"AU","Northern Territory","AU","AU-NT"
"AU","Queensland","AU","AU-QLD"
"AU","South Australia","AU","AU-SA"
"AU","Tasmania","AU","AU-TAS"
"AU","Victoria","AU","AU-VIC"
"AU","Western Australia","AU","AU-WA"
"AW","Aruba","AW","AW"
"AX","Eckeroe","AX",""
"AX","Finstroem","AX",""
"AX","Hammarland","AX",""
